Album,Deluxe/Platinum Exclusive,Vault?,Song Title,Is there a Feature?,Lyrics,Length,Genre,Streams,Daily
Taylor Swift,FALSE,FALSE,Our Song,FALSE,"I was ridin' shotgun with my hair undone
In the front seat of his car
He's got a one-hand feel on the steering wheel
The other on my heart
I look around, turn the radio down
He says, ""Baby, is something wrong?""
I say, ""Nothing, I was just thinkin' how we don't have a song""
And he says
Our song is the slamming screen door
Sneakin' out late, tapping on your window
When we're on the phone, and you talk real slow
'Cause it's late, and your mama don't know
Our song is the way you laugh
The first date, ""Man, I didn't kiss her, and I should have""
And when I got home, 'fore I said, ""Amen""
Asking God if he could play it again
I was walkin' up the front porch steps after everything that day
Had gone all wrong and been trampled on
And lost and thrown away
Got to the hallway, well on my way to my lovin' bed
I almost didn't notice all the roses
And the note that said
Our song is the slamming screen door
Sneakin' out late, tapping on your window
When we're on the phone, and you talk real slow
'Cause it's late, and your mama don't know
Our song is the way you laugh
The first date, ""Man, I didn't kiss her and I should have""
And when I got home, 'fore I said, ""Amen""
Asking God if he could play it again
I've heard every album, listened to the radio
Waited for something to come along
That was as good as our song
'Cause our song is the slamming screen door
Sneakin' out late, tapping on his window
When we're on the phone, and he talks real slow
'Cause it's late, and his mama don't know
Our song is the way he laughs
The first date, ""Man, I didn't kiss him, and I should have""
And when I got home, 'fore I said, ""Amen""
Askin' God if he could play it again, play it again
Oh, yeah
Oh, oh yeah
I was ridin' shotgun with my hair undone
In the front seat of his car
I grabbed a pen and an old napkin
And I wrote down our song",3:21,Country,,
Taylor Swift,TRUE,FALSE,I'm Only Me When I'm with You,FALSE,"Friday night beneath the stars
In a field behind your yard
You and I are painting pictures in the sky
Sometimes we don't say a thing
Just listen to the crickets sing
Everything I need is right here by my side
And I know everything about you
I don't wanna live without you
I'm only up when you're not down
Don't wanna fly if you're still on the ground
It's like no matter what I do
Well, you drive me crazy half the time
The other half I'm only trying
To let you know that what I feel is true
And I'm only me when I'm with you
Just a small-town boy and girl
Living in the crazy world
Trying to figure out what is and isn't true
And I don't try to hide my tears
My secrets or my deepest fears
Through it all nobody gets me like you do
And you know everything about me
You say that you can't live without me
I'm only up when you're not down
Don't wanna fly if you're still on the ground
It's like no matter what I do
Well, you drive me crazy half the time
The other half I'm only trying
To let you know that what I feel is true
And I'm only me when I'm with you
When I'm with anybody else
It's so hard to be myself
And only you can tell
I'm only up when you're not down
Don't wanna fly if you're still on the ground
It's like no matter what I do
Well, you drive me crazy half the time
The other half I'm only trying
To let you know that what I feel is true
And I'm only me
Who I wanna be
Well, I'm only me when I'm with you
With you (uh, yeah)",3:33,"Country pop, pop rock",,
Taylor Swift,TRUE,FALSE,Invisible,FALSE,"She can't see the way your eyes
Light up when you smile
She'll never notice how you stop and stare
Whenever she walks by
And you can't see me wantin' you the way you want her
But you are everything to me
And I just wanna show you
She don't even know you
She's never gonna love you like I want to
And you just see right through me but if you only knew me
We could be a beautiful, miracle, unbelievable
Instead of just invisible
There's a fire inside of you
That can't help but shine through
She's never gonna see the light
No matter what you do
And all I think about is how to make you think of me
And everything that we could be
And I just wanna show you
She don't even know you
She's never gonna love you like I want to
And you just see right through me but if you only knew me
We could be a beautiful, miracle, unbelievable
Instead of just invisible
Like shadows in a faded light
Oh we're invisible
I just wanna open your eyes
And make you realize
I just want to show you, she don't even know you,
Baby let me love you, let me want you"".
She can't see the way your eyes
Light up when you smile",3:23,Country pop,,
Taylor Swift,TRUE,FALSE,A Perfectly Good Heart,FALSE,"Why would you wanna break a perfectly good heart
Why would you wanna take our love and tear it all apart now
Why would you wanna make the very first scar
Why would you wanna break a perfectly good heart
Maybe I should've seen the signs, should've read the writing on the wall
And realized by the distance in your eyes that I would be the one to fall
No matter what you say I still can't believe
That you would walk away
It don't make sense to me but
Why would you wanna break a perfectly good heart
Why would you wanna take our love and tear it all apart now
Why would you wanna make the very first scar
Why would you wanna break a perfectly good heart
It's not unbroken anymore
How do I get it back the way it was before
Why would you wanna break a perfectly good heart
Why would you wanna take our love and tear it all apart now
Why would you wanna make the very first scar
Why would you wanna break, would you wanna break a
Why would you wanna break a perfectly good heart
Why would you wanna take our love and tear it all apart now
Why would you wanna make the very first scar
Why would you wanna break a perfectly good heart",3:40,Country pop,,
Fearless,FALSE,FALSE,Fearless,FALSE,"There's somethin' bout the way
The street looks when it's just rained
There's a glow off the pavement
You walk me to the car
And you know I wanna ask you to dance right there
In the middle of the parking lot
Yeah
Oh, yeah
We're drivin' down the road
I wonder if you know
I'm tryin' so hard not to get caught up now
But you're just so cool
Run your hands through your hair
Absent mindedly makin' me want you
And I don't know how it gets better than this
You take my hand and drag me head first
Fearless
And I don't know why
But with you I'd dance in a storm
In my best dress
Fearless
So baby drive slow
'Til we run out of road in this one horse town
I wanna stay right here in this passenger seat
You put your eyes on me
In this moment now capture it, remember it
'Cause I don't know how it gets better than this
You take my hand and drag me head first
Fearless
And I don't know why
But with you I'd dance in a storm
In my best dress
Fearless
Oh, oh
Well you stood there with me in the doorway
My hands shake
I'm not usually this way but
You pull me in and I'm a little more brave
It's the first kiss, it's flawless, really something, it's fearless
Oh, yeah
'Cause I don't know how it gets better than this
You take my hand and drag me head first
Fearless
And I don't know why
But with you I'd dance in a storm
In my best dress
Fearless
'Cause I don't know how it gets better than this
You take my hand and drag me head first
Fearless
And I don't know why
But with you I'd dance in a storm
In my best dress
Fearless
Oh, oh, oh yeah",4:01,"Country pop, pop rock",,
Fearless,FALSE,FALSE,Fifteen,FALSE,"You take a deep breath
And you walk through the doors
It's the morning of your very first day
You say hi to your friends you ain't seen in awhile
Try and stay out of everybody's way
It's your freshman year
And you're gonna be here for the next four years
In this town
Hoping one of those senior boys
Will wink at you and say
""You know I haven't seen you around, before""
'Cause when you're fifteen
And somebody tells you they love you
You're gonna believe them
And when you're fifteen
Feeling like there's nothing to figure out
Well, count to ten
Take it in
This is life before you know who you're gonna be
At fifteen
You sit in class next to a red-head named Abigail
And soon enough you're best friends
Laughing at the other girls
Who think they're so cool
We'll be out of here as soon as we can
And then you're on your very first date
And he's got a car
And you're feeling like flying
And your mama's waiting up
And you're thinking he's the one
And you're dancing 'round your room when the night ends
When the night ends
'Cause when you're fifteen
And somebody tells you they love you
You're gonna believe them
And when you're fifteen
And your first kiss makes your head spin around
Well, in your life you'll do things
Greater than dating the boy on the football team
I didn't know it at fifteen
When all you wanted
Was to be wanted
Wish you could go back
And tell yourself what you know now
Back then I swore I was gonna marry him someday
But I realized some bigger dreams of mine
And Abigail gave everything she had
To a boy who changed his mind
And we both cried
'Cause when you're fifteen
And somebody tells you they love you
You're gonna believe them
And when you're fifteen
Don't forget to look before you fall
But I've found time can heal most anything
And you just might find who you're supposed to be
I didn't know who I was supposed to be
At fifteen
La-la la-la la-la-la-la
La-la la-la la-la-la-la
La-la la-la
Your very first day
Take a deep breath girl
Take a deep breath as you walk through the doors",4:54,"Country pop, pop rock",,
Fearless,FALSE,FALSE,Love Story,FALSE,"We were both young when I first saw you
I close my eyes and the flashback starts
I'm standin' there
On a balcony in summer air
See the lights, see the party, the ball gowns
See you make your way through the crowd
And say, ""Hello""
Little did I know
That you were Romeo, you were throwin' pebbles
And my daddy said, ""Stay away from Juliet""
And I was cryin' on the staircase
Beggin' you, ""Please don't go, "" and I said
Romeo, take me somewhere we can be alone
I'll be waiting, all there's left to do is run
You'll be the prince and I'll be the princess
It's a love story, baby, just say, ""Yes""
So I sneak out to the garden to see you
We keep quiet, 'cause we're dead if they knew
So close your eyes
Escape this town for a little while, oh oh
'Cause you were Romeo, I was a scarlet letter
And my daddy said, ""Stay away from Juliet""
But you were everything to me
I was beggin' you, ""Please don't go, "" and I said
Romeo, take me somewhere we can be alone
I'll be waiting, all there's left to do is run
You'll be the prince and I'll be the princess
It's a love story, baby, just say, ""Yes""
Romeo, save me, they're tryna tell me how to feel
This love is difficult, but it's real
Don't be afraid, we'll make it out of this mess
It's a love story, baby, just say, ""Yes""
Oh, oh
I got tired of waiting
Wonderin' if you were ever comin' around
My faith in you was fading
When I met you on the outskirts of town, and I said
Romeo, save me, I've been feeling so alone
I keep waiting for you, but you never come
Is this in my head? I don't know what to think
He knelt to the ground and pulled out a ring
And said, ""Marry me, Juliet
You'll never have to be alone
I love you and that's all I really know
I talked to your dad, go pick out a white dress
It's a love story, baby, just say, ""Yes""
Oh, oh, oh
Oh, oh, oh, oh
'Cause we were both young when I first saw you",3:55,Country pop,,
Fearless,FALSE,FALSE,Hey Stephen,FALSE,"Mmm-mm, mm-mm, mm-mm
Mmm-mm, mm-mm
Mmm-mm, mm-mm, mm-mm
Mmm-mm, yeah
Hey Stephen, I know looks can be deceiving
But I know I saw a light in you
And as we walked we would talk
And I didn't say half the things I wanted to
Of all the girls tossing rocks at your window
I'll be the one waiting there even when it's cold
Hey Stephen, boy, you might have me believing
I don't always have to be alone
'Cause I can't help it if you look like an angel
Can't help it if I wanna kiss you in the rain, so
Come feel this magic I've been feeling since I met you
Can't help it if there's no one else
Mmm, I can't help myself
Hey Stephen, I've been holding back this feeling
So I've got some things to say to you (ha)
I've seen it all, so I thought
But I never seen nobody shine the way you do
The way you walk, way you talk, way you say my name
It's beautiful, wonderful, don't you ever change
Hey Stephen, why are people always leaving?
I think you and I should stay the same
'Cause I can't help it if you look like an angel
Can't help it if I wanna kiss you in the rain, so
Come feel this magic I've been feeling since I met you
Can't help it if there's no one else
Mmm, I can't help myself
They're dimming the street lights
You're perfect for me
Why aren't you here tonight?
I'm waiting alone now
So come on and come out
And pull me near
And shine, shine, shine
Hey Stephen, I could give you 50 reasons
Why I should be the one you choose
All those other girls, well, they're beautiful
But would they write a song for you? (Ha-ha)
I can't help it if you look like an angel
Can't help it if I wanna kiss you in the rain, so
Come feel this magic I've been feeling since I met you
Can't help it if there's no one else
Mmm, I can't help myself
If you look like an angel
Can't help it if I wanna kiss you in the rain, so
Come feel this magic I've been feeling since I met you
Can't help it if there's no one else
Mmm I can't help myself
Myself
Can't help myself, I can't help myself
Oh, oh, oh
Mmm-mm, mm-mm, mm-mm
Mmm-mm, mm-mm
Mmm-mm, mm-mm, mm-mm
Mmm-mm, mm-mm
Mm-mm",4:14,"Country pop, folk pop, teen pop",,
Fearless,FALSE,FALSE,White Horse,FALSE,"Say you're sorry, that face of an angel
Comes out just when you need it to
As I paced back and forth all this time
'Cause I honestly believed in you
Holdin' on, the days drag on
Stupid girl, I should've known, I should've known
That I'm not a princess, this ain't a fairy tale
I'm not the one you'll sweep off her feet
Lead her up the stairwell
This ain't Hollywood, this is a small town
I was a dreamer before you went and let me down
Now it's too late for you and your white horse
To come around
Maybe I was naive, got lost in your eyes
And never really had a chance
My mistake, I didn't know to be in love
You had to fight to have the upper hand
I had so many dreams about you and me
Happy endings, now I know
I'm not a princess, this ain't a fairy tale
I'm not the one you'll sweep off her feet
Lead her up the stairwell
This ain't Hollywood, this is a small town
I was a dreamer before you went and let me down
Now it's too late for you and your white horse
To come around
And there you are on your knees
Begging for forgiveness, begging for me
Just like I always wanted but I'm so sorry
'Cause I'm not your princess, this ain't a fairytale
I'm gonna find someone someday
Who might actually treat me well
This is a big world, that was a small town
There in my rear-view mirror disappearing now
And it's too late for you and your white horse
Now it's too late for you and your white horse
To catch me now
Oh, whoa, whoa, whoa
Try and catch me now, oh
It's too late
To catch me now",3:54,Country pop,,
Fearless,FALSE,FALSE,You Belong with Me,FALSE,"You're on the phone with your girlfriend, she's upset
She's going off about something that you said
'Cause she doesn't get your humor like I do
I'm in the room, it's a typical Tuesday night
I'm listening to the kind of music she doesn't like
And she'll never know your story like I do
But she wears short skirts, I wear T-shirts
She's Cheer Captain, and I'm on the bleachers
Dreaming about the day when you wake up and find
That what you're looking for has been here the whole time
If you could see that I'm the one who understands you
Been here all along, so why can't you see?
You belong with me, you belong with me
Walk in the streets with you in your worn-out jeans
I can't help thinking this is how it ought to be
Laughing on a park bench, thinking to myself
""Hey, isn't this easy?""
And you've got a smile that can light up this whole town
I haven't seen it in a while since she brought you down
You say you're fine, I know you better than that
Hey, what you doing with a girl like that?
She wears high heels, I wear sneakers
She's Cheer Captain, and I'm on the bleachers
Dreaming about the day when you wake up and find
That what you're looking for has been here the whole time
If you could see that I'm the one who understands you
Been here all along, so why can't you see?
You belong with me
Standing by and waiting at your backdoor
All this time how could you not know, baby?
You belong with me, you belong with me
Oh, I remember you driving to my house in the middle of the night
I'm the one who makes you laugh when you know you're 'bout to cry
I know your favorite songs and you tell me 'bout your dreams
Think I know where you belong, think I know it's with me
Can't you see that I'm the one who understands you?
Been here all along, so why can't you see?
You belong with me
Standing by and waiting at your backdoor
All this time how could you not know, baby?
You belong with me, you belong with me
You belong with me
Have you ever thought, just maybe
You belong with me?
You belong with me",3:51,"Country pop, power pop, pop rock",,
Fearless,FALSE,FALSE,Breathe,TRUE,"I see your face in my mind as I drive away,
'Cause none of us thought it was gonna end that way
People are people,
And sometimes we change our minds
But it's killing me to see you go after all this time
Music starts playin' like the end of a sad movie,
It's the kinda ending you don't really wanna see
'Cause it's tragedy and it'll only bring you down,
Now I don't know what to be without you around
And we know it's never simple,
Never easy
Never a clean break, no one here to save me
You're the only thing I know like the back of my hand,
And I can't,
Breathe,
Without you,
But I have to,
Breathe,
Without you,
But I have to
Never wanted this, never wanna see you hurt
Every little bump in the road I tried to swerve
People are people,
And sometimes it doesn't work out,
Nothing we say is gonna save us from the fall out
And we know it's never simple,
Never easy
Never a clean break, no one here to save me
You're the only thing I know like the back of my hand,
And I can't,
Breathe,
Without you,
But I have to,
Breathe,
Without you,
But I have to
It's two am
Feelin' like I just lost a friend
Hope you know it's not easy,
Easy for me
It's two am
Feelin' like I just lost a friend
Hope you know this ain't easy,
Easy for me
And we know it's never simple,
Never easy
Never a clean break, no one here to save me
I can't,
Breathe,
Without you,
But I have to,
Breathe,
Without you,
But I have to
Breathe,
Without you,
But I have to
Sorry (oh) sorry
Sorry sorry
Sorry sorry",4:23,Pop rock,,
Fearless,FALSE,FALSE,Tell Me Why,FALSE,"I took a chance, I took a shot
And you might think I'm bulletproof, but I'm not
You took a swing, I took it hard
And down here from the ground, I see who you are
I'm sick and tired of your attitude
I'm feeling like I don't know you
You tell me that you love me, then you cut me down
And I need you like a heartbeat
But you know you got a mean streak
Makes me run for cover when you're around
And here's to you and your temper
Yes, I remember what you said last night
And I know that you see what you're doing to me
Tell me why
You could write a book on
How to ruin someone's perfect day
Well, I get so confused and frustrated
Forget what I'm trying to say, oh
I'm sick and tired of your reasons
I got no one to believe in
You tell me that you want me, then push me around
And I need you like a heartbeat
But you know you got a mean streak
Makes me run for cover when you're around
Here's to you and your temper
Yes, I remember what you said last night
And I know that you see what you're doing to me
Tell me why
Why do you have to make me feel small
So you can feel whole inside?
Why do you have to put down my dreams
So you're the only thing on my mind?
When I'm sick and tired of your attitude
I'm feeling like I don't know you
You tell me that you want me, then cut me down
I'm sick and tired of your reasons
I've got no one to believe in
You ask me for my love, then you push me around
Here's to you and your temper
Yes, I remember what you said last night
And I know that you see what you're doing to me
Tell me why, why?
Tell me why
I take a step back, let you go
I told you I'm not bulletproof
Now you know",3:20,Country,,
Fearless,FALSE,FALSE,You're Not Sorry,FALSE,"All this time I was wasting
Hoping you would come around
I've been giving out chances every time
And all you do is let me down
And it's taking me this long
Baby but I figured you out
And you're thinking we'll be fine again
But not this time around
You don't have to call anymore
I won't pick up the phone
This is the last straw
Don't wanna hurt anymore
And you can tell me that you're sorry
But I don't believe you baby
Like I did before
You're not sorry, no no, no no
Looking so innocent
I might believe you if I didn't know
Could've loved you all my life
If you hadn't left me waiting in the cold
And you got your share of secrets
And I'm tired of being last to know
And now you're asking me to listen
Cause it's worked each time before
But you don't have to call anymore
I won't pick up the phone
This is the last straw
Don't wanna hurt anymore
And you can tell me that you're sorry
But I don't believe you baby
Like I did before
You're not sorry, no no
You're not sorry, no no
You had me crawling for you honey
And it never would've gone away, no
You used to shine so bright
But I watched all of it fade
You don't have to call anymore
I won't pick up the phone
This is the last straw there's nothing left to beg for
And you can tell me that you're sorry
But I don't believe you baby
Like I did before you're not sorry
No, no, no
You're not sorry, no no (no)",4:21,Rock,,
